No.;CrDeviceProperty;Outline;Mode;ILX-LR1;ILCE-1M2;ILCE-1;ILCE-9M3;ILCE-9M2;ILCE-7RM5;ILCE-7RM4A;ILCE-7RM4;ILCE-7CR;ILCE-7SM3;ILCE-7M5;ILCE-7M4;ILCE-7CM2;ILCE-7C;ILCE-6700;MPC-2610;ILME-FX6;ILME-FX2;ILME-FX3A;ILME-FX3;ILME-FX30;PXW-Z300;PXW-Z200;HXR-NX800;BRC-AM7;ILME-FR7;ZV-E1;ZV-E10M2;DSC-RX1RM3;DSC-RX0M2
98;:ref:`CrDeviceProperty_BaseLookValue<dp-BaseLookValue>`;BaseLook Value;R/T;✔;✔;\-;✔;\-;\-;\-;\-;\-;✔;✔;\-;\-;\-;\-;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;\-
99;:ref:`CrDeviceProperty_PlaybackMedia<dp-PlaybackMedia>`;Playback Media;R/T;\-;\*1;\*1;\*1;\-;\*1;\-;\-;\-;\*1;\*1;\*1;\-;\-;\-;\-;\-;\*1;✔;✔;✔;\-;\-;\-;\-;\-;\-;\-;\-;\-
100;:ref:`CrDeviceProperty_DispModeCandidate<dp-DispModeCandidate>`;Monitor DISP (Screen Display) Mode Candidates;R/T;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;\-;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;\-
101;:ref:`CrDeviceProperty_DispModeSetting<dp-DispModeSetting>`;Monitor DISP (Screen Display) Mode Setting;R/T;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;\-;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;\-
102;:ref:`CrDeviceProperty_DispMode<dp-DispMode>`;Monitor DISP (Screen Display) Mode;R/T;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;\-;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;\-
103;:ref:`CrDeviceProperty_TouchOperation<dp-TouchOperation>`;Touch Operation;R/T;\-;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;\-
104;:ref:`CrDeviceProperty_SelectFinder<dp-SelectFinder>`;Select Finder/Monitor;R/T;\-;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;✔;\-;✔;\-;\-;✔;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;\-
105;:ref:`CrDeviceProperty_AutoPowerOffTemperature<dp-AutoPowerOffTemperature>`;Auto Power OFF Temperature;R/T;\-;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;\-
106;:ref:`CrDeviceProperty_BodyKeyLock<dp-BodyKeyLock>`;Body Key Lock;R/T;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;\-
107;:ref:`CrDeviceProperty_ImageID_Num_Setting<dp-ImageID_Num_Setting>`;Image ID (Numerical Value) Setting;R/T;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;\-
108;:ref:`CrDeviceProperty_ImageID_Num<dp-ImageID_Num>`;Image ID (Numerical Value);R/T;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;\-
109;:ref:`CrDeviceProperty_ImageID_String<dp-ImageID_String>`;Image ID (String);R/T;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;\-
110;:ref:`CrDeviceProperty_ExposureCtrlType<dp-ExposureCtrlType>`;Exposure Ctrl Type;R/T;\-;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;✔;\-;\-;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;\-;\-;\-;\-
111;:ref:`CrDeviceProperty_MonitorLUTSetting<dp-MonitorLUTSetting>`;Monitor LUT Setting (All Line);R/T;✔;✔;\-;✔;\-;\-;\-;\-;\-;✔;✔;\-;\-;\-;\-;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;\-
112;:ref:`CrDeviceProperty_IsoCurrentSensitivity<dp-IsoCurrentSensitivity>`;ISO Current Sensitivity;R/T;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;\-;✔;\-;✔;✔;✔;✔;✔;✔;✔;\-;✔;✔;✔;✔;✔;✔;✔;\-
113;:ref:`CrDeviceProperty_CameraSetting_SaveOperationEnableStatus<dp-CameraSetting_SaveOperationEnableStatus>`;Camera-Setting Save Operation Enable Status;R/T;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;\-
114;:ref:`CrDeviceProperty_CameraSetting_ReadOperationEnableStatus<dp-CameraSetting_ReadOperationEnableStatus>`;Camera-Setting Read Operation Enable Status;R/T;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;\-
115;:ref:`CrDeviceProperty_CameraSetting_SaveRead_State<dp-CameraSetting_SaveRead_State>`;Camera-Setting Save/Read State;R/T;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;\-
116;:ref:`CrDeviceProperty_CameraSettingsResetEnableStatus<dp-CameraSettingsResetEnableStatus>`;REC Settings Reset Enable Status;R/T;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;\-
117;:ref:`CrDeviceProperty_APS_C_or_Full_SwitchingSetting<dp-APS_C_or_Full_SwitchingSetting>`;APS-C or Full Switching Setting;R/T;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;✔;\-;\-;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;✔;\-;\-;\-
118;:ref:`CrDeviceProperty_APS_C_or_Full_SwitchingEnableStatus<dp-APS_C_or_Full_SwitchingEnableStatus>`;APS-C or Full Switching Enable Status;R/T;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;✔;\-;\-;\-;\-;✔;✔;✔;\-;\-;\-;\-;\-;\-;✔;✔;✔;\-
119;:ref:`CrDeviceProperty_FocalDistanceInMeter<dp-FocalDistanceInMeter>`;Focal Distance in Meter;R/T;\*1;\*1;\*1;\*1;\-;\-;\-;\-;\-;\*1;\*1;\-;\-;\-;\-;\*1;\*1;\*1;\-;\-;\-;\*1;\*1;\*1;\*1;\*1;\-;\*1;\-;\-
120;:ref:`CrDeviceProperty_FocalDistanceInFeet<dp-FocalDistanceInFeet>`;Focal Distance in Feet;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\*1;\*1;\-;\-;\-;\-;\*1;\*1;\*1;\*1;\*1;\-;\-;\-;\-
121;:ref:`CrDeviceProperty_FocalDistanceUnitSetting<dp-FocalDistanceUnitSetting>`;Focal Distance Unit Setting;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\*1;\*1;\-;\-;\-;\-;\*1;\*1;\*1;\*1;\*1;\-;\-;\-;\-
122;:ref:`CrDeviceProperty_DigitalZoomScale<dp-DigitalZoomScale>`;Digital Zoom Scale;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\*1;\*1;\-;\-;\-;\-;\*1;\*1;\*1;\*1;\*1;\-;\-;\-;\-
123;:ref:`CrDeviceProperty_ZoomDistance<dp-ZoomDistance>`;Zoom Distance;R/T;\*1;\*1;\*1;\*1;\-;\*1;\-;\-;\*1;\*1;\*1;\*1;\*1;\-;\*1;\*1;\*1;\*1;\*1;\*1;\*1;\*1;\*1;\*1;\*1;\*1;\*1;\*1;\*1;\-
124;:ref:`CrDeviceProperty_ZoomDistanceUnitSetting<dp-ZoomDistanceUnitSetting>`;Zoom Distance Unit Setting;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\*1;\*1;\-;\-;\-;\-;\*1;\*1;\*1;\*1;\*1;\-;\-;\-;\-
125;:ref:`CrDeviceProperty_ShutterModeStatus<dp-ShutterModeStatus>`;Shutter Mode Status;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;\-;\-;\-;\-;✔;✔;✔;✔;✔;\-;\-;\-;\-
126;:ref:`CrDeviceProperty_ShutterSlow<dp-ShutterSlow>`;Shutter Slow;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\*1;\*1;\*1;\*1;\*1;\*1;\*1;\*1;\*1;\*1;\*1;\-;\-;\-;\-
127;:ref:`CrDeviceProperty_ShutterSlowFrames<dp-ShutterSlowFrames>`;Shutter Slow Frames;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;\-;\-;\-;\-
128;:ref:`CrDeviceProperty_Movie_Recording_ResolutionForMain<dp-Movie_Recording_ResolutionForMain>`;Recording Resolution for Main (Movie);R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;\*1;\-;\-;\-;\-;\*1;\*1;\*1;\*1;\*1;\-;\-;\-;\-
129;:ref:`CrDeviceProperty_Movie_Recording_ResolutionForProxy<dp-Movie_Recording_ResolutionForProxy>`;Recording Resolution for Proxy (Movie);R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\*1;\*1;\-;\-;\-;\-;\*1;\*1;\*1;\-;\-;\-;\-;\-;\-
130;:ref:`CrDeviceProperty_Movie_Recording_FrameRateProxySetting<dp-Movie_Recording_FrameRateProxySetting>`;Recording Frame Rate Proxy Setting (Movie);R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\*1;\*1;\-;\-;\-;\-;\*1;\*1;\*1;\*1;\*1;\-;\-;\-;\-
131;:ref:`CrDeviceProperty_MovieShootingMode<dp-MovieShootingMode>`;Movie Shooting Mode;R/T;✔;✔;\-;✔;\-;\-;\-;\-;✔;✔;✔;\-;✔;\-;✔;✔;\*1;✔;✔;✔;✔;\-;✔;✔;✔;✔;\-;✔;✔;\-
132;:ref:`CrDeviceProperty_MovieShootingModeColorGamut<dp-MovieShootingModeColorGamut>`;Movie Shooting Mode Color Gamut;R/T;✔;✔;\-;✔;\-;\-;\-;\-;✔;✔;✔;\-;✔;\-;✔;✔;\*1;✔;✔;✔;✔;\-;\*1;\*1;\*1;\*1;\-;✔;✔;\-
133;:ref:`CrDeviceProperty_MovieShootingModeTargetDisplay<dp-MovieShootingModeTargetDisplay>`;Movie Shooting Mode Target Display;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\*1;\*1;\-;\-;\-;\-;✔;✔;✔;✔;✔;\-;\-;\-;\-
134;:ref:`CrDeviceProperty_DepthOfFieldAdjustmentMode<dp-DepthOfFieldAdjustmentMode>`;Depth of Field Adjustment Mode;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\*1;\*1;\-;\-;\-;\-;\-;\-;\-;\-;\*1;\-;\-;\-;\-
135;:ref:`CrDeviceProperty_DepthOfFieldAdjustmentInterlockingMode<dp-DepthOfFieldAdjustmentInterlockingMode>`;Depth of Field Adjustment Interlocking Mode State;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;\-;\-;\-;\-;\-;\-;\-;\-;✔;\-;\-;\-;\-
136;:ref:`CrDeviceProperty_ColortempStep<dp-ColortempStep>`;Color Temperature Step;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;\-;\-;\-;\-;✔;✔;✔;✔;✔;\-;\-;\-;\-
137;:ref:`CrDeviceProperty_WhiteBalanceModeSetting<dp-WhiteBalanceModeSetting>`;White Balance Mode Setting;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;\-;\-;\-;\-;✔;✔;✔;✔;✔;\-;\-;\-;\-
138;:ref:`CrDeviceProperty_WhiteBalanceTint<dp-WhiteBalanceTint>`;White Balance Tint;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;\*1;\-;\-;\-;\-;✔;✔;✔;✔;✔;\-;\-;\-;\-
139;:ref:`CrDeviceProperty_WhiteBalanceTintStep<dp-WhiteBalanceTintStep>`;White Balance Tint Step;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;\-;\-;\-;\-;✔;✔;✔;✔;✔;\-;\-;\-;\-
140;:ref:`CrDeviceProperty_Focus_Operation<dp-Focus_Operation>`;Focus Operation;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;\-;\-;\-;\-;✔;✔;✔;✔;✔;\-;\-;\-;\-
141;:ref:`CrDeviceProperty_Focus_Speed_Range<dp-Focus_Speed_Range>`;Focus Speed Range;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;\-;\-;\-;\-;✔;✔;✔;✔;✔;\-;\-;\-;\-
142;:ref:`CrDeviceProperty_ShutterECSSetting<dp-ShutterECSSetting>`;Shutter ECS Setting;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;\-;\-;\-;\-;✔;✔;✔;✔;✔;\-;\-;\-;\-
143;:ref:`CrDeviceProperty_ShutterECSNumber<dp-ShutterECSNumber>`;Shutter ECS Number;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\*1;\*1;\-;\-;\-;\-;\*1;\*1;\*1;\*1;\*1;\-;\-;\-;\-
144;:ref:`CrDeviceProperty_ShutterECSNumberStep<dp-ShutterECSNumberStep>`;Shutter ECS Number Step;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;\-;\-;\-;\-;✔;✔;✔;✔;✔;\-;\-;\-;\-
145;:ref:`CrDeviceProperty_ShutterECSFrequency<dp-ShutterECSFrequency>`;Shutter ECS Frequency;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\*1;\*1;\-;\-;\-;\-;\*1;\*1;\*1;\*1;\*1;\-;\-;\-;\-
146;:ref:`CrDeviceProperty_ButtonAssignmentAssignable1<dp-ButtonAssignmentAssignable1>`;Button Assignment Assignable.1;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;\-;\-;\-;\-;✔;✔;✔;✔;✔;\-;\-;\-;\-
147;:ref:`CrDeviceProperty_ButtonAssignmentAssignable2<dp-ButtonAssignmentAssignable2>`;Button Assignment Assignable.2;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;\-;\-;\-;\-;✔;✔;✔;✔;✔;\-;\-;\-;\-
148;:ref:`CrDeviceProperty_ButtonAssignmentAssignable3<dp-ButtonAssignmentAssignable3>`;Button Assignment Assignable.3;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;\-;\-;\-;\-;✔;✔;✔;✔;✔;\-;\-;\-;\-
149;:ref:`CrDeviceProperty_ButtonAssignmentAssignable4<dp-ButtonAssignmentAssignable4>`;Button Assignment Assignable.4;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;\-;\-;\-;\-;✔;✔;✔;✔;✔;\-;\-;\-;\-
150;:ref:`CrDeviceProperty_ButtonAssignmentAssignable5<dp-ButtonAssignmentAssignable5>`;Button Assignment Assignable.5;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;\-;\-;\-;\-;✔;✔;✔;✔;✔;\-;\-;\-;\-
151;:ref:`CrDeviceProperty_ButtonAssignmentAssignable6<dp-ButtonAssignmentAssignable6>`;Button Assignment Assignable.6;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;\-;\-;\-;\-;✔;✔;✔;✔;✔;\-;\-;\-;\-
152;:ref:`CrDeviceProperty_ButtonAssignmentAssignable7<dp-ButtonAssignmentAssignable7>`;Button Assignment Assignable.7;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;\-;\-;\-;\-;✔;✔;✔;✔;✔;\-;\-;\-;\-
153;:ref:`CrDeviceProperty_ButtonAssignmentAssignable8<dp-ButtonAssignmentAssignable8>`;Button Assignment Assignable.8;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;\-;\-;\-;\-;✔;✔;✔;✔;✔;\-;\-;\-;\-
154;:ref:`CrDeviceProperty_ButtonAssignmentAssignable9<dp-ButtonAssignmentAssignable9>`;Button Assignment Assignable.9;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;\-;\-;\-;\-;✔;✔;✔;✔;✔;\-;\-;\-;\-
155;:ref:`CrDeviceProperty_ButtonAssignmentLensAssignable1<dp-ButtonAssignmentLensAssignable1>`;Button Assignment LensAssignable.1;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-
156;:ref:`CrDeviceProperty_AssignableButton1<dp-AssignableButton1>`;Assignable Button 1;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;\-;\-;\-;\-;✔;✔;✔;✔;✔;\-;\-;\-;\-
157;:ref:`CrDeviceProperty_AssignableButton2<dp-AssignableButton2>`;Assignable Button 2;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;\-;\-;\-;\-;✔;✔;✔;✔;✔;\-;\-;\-;\-
158;:ref:`CrDeviceProperty_AssignableButton3<dp-AssignableButton3>`;Assignable Button 3;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;\-;\-;\-;\-;✔;✔;✔;✔;✔;\-;\-;\-;\-
159;:ref:`CrDeviceProperty_AssignableButton4<dp-AssignableButton4>`;Assignable Button 4;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;\-;\-;\-;\-;✔;✔;✔;✔;✔;\-;\-;\-;\-
160;:ref:`CrDeviceProperty_AssignableButton5<dp-AssignableButton5>`;Assignable Button 5;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;\-;\-;\-;\-;✔;✔;✔;✔;✔;\-;\-;\-;\-
161;:ref:`CrDeviceProperty_AssignableButton6<dp-AssignableButton6>`;Assignable Button 6;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;\-;\-;\-;\-;✔;✔;✔;✔;✔;\-;\-;\-;\-
162;:ref:`CrDeviceProperty_AssignableButton7<dp-AssignableButton7>`;Assignable Button 7;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;\-;\-;\-;\-;✔;✔;✔;✔;✔;\-;\-;\-;\-
163;:ref:`CrDeviceProperty_AssignableButton8<dp-AssignableButton8>`;Assignable Button 8;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;\-;\-;\-;\-;✔;✔;✔;✔;✔;\-;\-;\-;\-
164;:ref:`CrDeviceProperty_AssignableButton9<dp-AssignableButton9>`;Assignable Button 9;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;\-;\-;\-;\-;✔;✔;✔;✔;✔;\-;\-;\-;\-
165;:ref:`CrDeviceProperty_LensAssignableButton1<dp-LensAssignableButton1>`;LensAssignable Button 1;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-
166;:ref:`CrDeviceProperty_FocusModeSetting<dp-FocusModeSetting>`;Focus Mode Setting;R/T;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;\-;✔;✔;\-
167;:ref:`CrDeviceProperty_ShutterAngle<dp-ShutterAngle>`;Shutter Angle;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;\-;\-;\-;\-
168;:ref:`CrDeviceProperty_ShutterSetting<dp-ShutterSetting>`;Shutter Setting;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-
169;:ref:`CrDeviceProperty_ShutterMode<dp-ShutterMode>`;Shutter Mode;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;\-;\-;\-;\-
170;:ref:`CrDeviceProperty_ShutterSpeedValue<dp-ShutterSpeedValue>`;Shutter Speed Value;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;\-;\-;\-;\-;✔;✔;✔;✔;✔;\-;\-;\-;\-
171;:ref:`CrDeviceProperty_ShutterSpeedCurrentValue<dp-ShutterSpeedCurrentValue>`;Shutter Speed Current Value;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;\-;\-;\-;\-;✔;✔;✔;✔;✔;\-;\-;\-;\-
172;:ref:`CrDeviceProperty_NDFilter<dp-NDFilter>`;ND Filter;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;\-;\-;\-;\-;✔;✔;✔;✔;✔;\-;\-;\-;\-
173;:ref:`CrDeviceProperty_NDFilterMode<dp-NDFilterMode>`;ND Filter Mode;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;\-;\-;\-;\-;✔;✔;✔;✔;✔;\-;\-;\-;\-
174;:ref:`CrDeviceProperty_NDFilterModeSetting<dp-NDFilterModeSetting>`;ND Filter Mode Setting;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;\-;\-;\-;\-;✔;✔;✔;✔;✔;\-;\-;\-;\-
175;:ref:`CrDeviceProperty_NDFilterValue<dp-NDFilterValue>`;ND Filter Value;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;\-;\-;\-;\-;✔;✔;✔;✔;✔;\-;\-;\-;\-
176;:ref:`CrDeviceProperty_GainUnitSetting<dp-GainUnitSetting>`;Gain Unit Setting;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\*1;\*1;\-;\-;\-;\-;\*1;\*1;\*1;\*1;\*1;\-;\-;\-;\-
177;:ref:`CrDeviceProperty_GaindBValue<dp-GaindBValue>`;Gain dB Value;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;\-;\-;\-;\-;✔;✔;✔;✔;✔;\-;\-;\-;\-
178;:ref:`CrDeviceProperty_GaindBCurrentValue<dp-GaindBCurrentValue>`;Gain dB Current Value;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;\-;\-;\-;\-;✔;✔;✔;✔;✔;\-;\-;\-;\-
179;:ref:`CrDeviceProperty_AWB<dp-AWB>`;AWB;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;\-;\-;\-;\-;✔;✔;✔;✔;✔;\-;\-;\-;\-
180;:ref:`CrDeviceProperty_SceneFileIndex<dp-SceneFileIndex>`;SceneFile Index;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;\-;\-;\-;\-;✔;✔;✔;✔;✔;\-;\-;\-;\-
181;:ref:`CrDeviceProperty_CurrentSceneFileEdited<dp-CurrentSceneFileEdited>`;Current SceneFile Edited;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;\-;\-;\-;\-;✔;✔;✔;✔;✔;\-;\-;\-;\-
182;:ref:`CrDeviceProperty_MoviePlayButton<dp-MoviePlayButton>`;Movie Play Button;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;\-;\-;\-;\-;✔;✔;✔;✔;✔;\-;\-;\-;\-
183;:ref:`CrDeviceProperty_MoviePlayPauseButton<dp-MoviePlayPauseButton>`;Movie Play Pause Button;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;\-;\-;\-;\-;✔;✔;✔;✔;✔;\-;\-;\-;\-
184;:ref:`CrDeviceProperty_MoviePlayStopButton<dp-MoviePlayStopButton>`;Movie Play Stop Button;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;\-;\-;\-;\-;✔;✔;✔;✔;✔;\-;\-;\-;\-
185;:ref:`CrDeviceProperty_MovieForwardButton<dp-MovieForwardButton>`;Movie Forward Button;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;\-;\-;\-;\-;✔;✔;✔;✔;✔;\-;\-;\-;\-
186;:ref:`CrDeviceProperty_MovieRewindButton<dp-MovieRewindButton>`;Movie Rewind Button;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;\-;\-;\-;\-;✔;✔;✔;✔;✔;\-;\-;\-;\-
187;:ref:`CrDeviceProperty_MovieNextButton<dp-MovieNextButton>`;Movie Next Button;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;\-;\-;\-;\-;✔;✔;✔;✔;✔;\-;\-;\-;\-
