No.;CrDeviceProperty;Outline;Mode;ILX-LR1;ILCE-1M2;ILCE-1;ILCE-9M3;ILCE-9M2;ILCE-7RM5;ILCE-7RM4A;ILCE-7RM4;ILCE-7CR;ILCE-7SM3;ILCE-7M5;ILCE-7M4;ILCE-7CM2;ILCE-7C;ILCE-6700;MPC-2610;ILME-FX6;ILME-FX2;ILME-FX3A;ILME-FX3;ILME-FX30;PXW-Z300;PXW-Z200;HXR-NX800;BRC-AM7;ILME-FR7;ZV-E1;ZV-E10M2;DSC-RX1RM3;DSC-RX0M2
36;:ref:`CrDeviceProperty_StillImageStoreDestination<dp-StillImageStoreDestination>`;Still Image Save Destination;R/T;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;✔
37;:ref:`CrDeviceProperty_PriorityKeySettings<dp-PriorityKeySettings>`;Position Key Setting;R/T;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;\-;\-;✔;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;✔;✔
38;:ref:`CrDeviceProperty_Focus_Magnifier_Setting<dp-Focus_Magnifier_Setting>`;Focus Magnifier Setting;R/T;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;\-
39;:ref:`CrDeviceProperty_DateTime_Settings<dp-DateTime_Settings>`;Date/Time Setting;R/T;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;✔
40;:ref:`CrDeviceProperty_NearFar<dp-NearFar>`;Focus Near/Far Setting;R/T;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;✔
41;:ref:`CrDeviceProperty_LiveView_Image_Quality<dp-LiveView_Image_Quality>`;Live View Image Quality;R/T;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;\-
42;:ref:`CrDeviceProperty_Interval_Rec_Mode<dp-Interval_Rec_Mode>`;Interval REC (Still) Mode;R/T;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;✔
43;:ref:`CrDeviceProperty_Still_Image_Trans_Size<dp-Still_Image_Trans_Size>`;Still Image Trans Size;R/T;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;\-
44;:ref:`CrDeviceProperty_RAW_J_PC_Save_Image<dp-RAW_J_PC_Save_Image>`;RAW+J PC Save Image;R/T;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;\-
45;:ref:`CrDeviceProperty_CustomWB_Capture_Standby<dp-CustomWB_Capture_Standby>`;Custom WB Capture Standby;R/T;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;\-
