No.;APIs;Outline;Mode;ILX-LR1;ILCE-1M2;ILCE-1;ILCE-9M3;ILCE-9M2;ILCE-7RM5;ILCE-7RM4A;ILCE-7RM4;ILCE-7CR;ILCE-7SM3;ILCE-7M5;ILCE-7M4;ILCE-7CM2;ILCE-7C;ILCE-6700;MPC-2610;ILME-FX6;ILME-FX2;ILME-FX3A;ILME-FX3;ILME-FX30;PXW-Z300;PXW-Z200;HXR-NX800;BRC-AM7;ILME-FR7;ZV-E1;ZV-E10M2;DSC-RX1RM3;DSC-RX0M2
29;:ref:`GetContentsHandleList<api-get-contents-handle-list>`;Get content handle array in the date folder.;C;✔;✔;✔;✔;\-;✔;✔;\-;✔;✔;✔;✔;✔;✔;✔;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;✔
30;:ref:`GetContentsDetailInfo<api-get-contents-detail-info>`;Get contents Information.;C;✔;✔;✔;✔;\-;✔;✔;\-;✔;✔;✔;✔;✔;✔;✔;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;✔
31;:ref:`ReleaseDateFolderList<api-release-date-folder-list>`;Release the CrMtpFolderInfo objects allocated by GetDateFolderList.;C;✔;✔;✔;✔;\-;✔;✔;\-;✔;✔;✔;✔;✔;✔;✔;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;✔
32;:ref:`ReleaseContentsHandleList<api-release-contents-handle-list>`;Release the CrMtpContentsInfo object allocated by GetContentsHandleList.;C;✔;✔;✔;✔;\-;✔;✔;\-;✔;✔;✔;✔;✔;✔;✔;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;✔
33;:ref:`PullContentsFile (\*1)<api-pull-contents-file>`;Get(download) contents file.;C;✔;✔;✔;✔;\-;✔;✔;\-;✔;✔;✔;✔;✔;✔;✔;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;✔
34;:ref:`GetContentsThumbnailImage<api-get-contents-thumbnail-image>`;Read thumbnail image data into the memory of the current machine.;C;✔;✔;✔;✔;\-;✔;✔;\-;✔;✔;✔;✔;✔;✔;✔;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;✔
35;:ref:`DownloadSettingFile<api-download-setting-file>`;Get(download) the camera settings file.;R/T;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;\-
36;:ref:`UploadSettingFile<api-upload-setting-file>`;Update(upload) the camera settings file.;R/T;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;\-
37;:ref:`RequestDisplayStringList<api-request-display-string-list>`;Request a list of display menu strings.;R/T;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;✔;\-;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;\-
38;:ref:`GetDisplayStringTypes<api-get-display-string-types>`;Get referenceable display menu string type.;R/T;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;✔;\-;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;\-
39;:ref:`GetDisplayStringList<api-get-display-string-list>`;Get the list of display menu strings.;R/T;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;✔;\-;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;\-
40;:ref:`ReleaseDisplayStringTypes<api-release-display-string-types>`;Release the CrDisplayStringType objects allocated by GetDisplayStringTypes.;R/T;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;✔;\-;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;\-
41;:ref:`ReleaseDisplayStringList<api-release-display-string-list>`;Release the CrDisplayStringListInfo objects allocated by GetDisplayStringList.;R/T;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;✔;\-;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;\-
42;:ref:`GetMediaProfile<api-get-media-profile>`;Get the MediaProfile Lists.;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;\-;\-;\-;\-;✔;✔;✔;✔;✔;\-;\-;\-;\-
43;:ref:`ReleaseMediaProfile<api-release-media-profile>`;Release the CrMediaProfileInfo objects allocated by GetMediaProfile.;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;\-;\-;\-;\-;✔;✔;✔;✔;✔;\-;\-;\-;\-
44;:ref:`RequestLensInformation<api-request-lens-information>`;Request the acquisition of Lens information.;R/T;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;✔;\-;\-;✔;✔;✔;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;\-;\-
45;:ref:`GetLensInformation<api-get-lens-information>`;Get the Lens information Lists.;R/T;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;✔;\-;\-;✔;✔;✔;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;\-;\-
46;:ref:`ReleaseLensInformation<api-release-lens-information>`;Release the CrLensInformation objects allocated by GetLensInformation.;R/T;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;✔;\-;\-;✔;✔;✔;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;\-;\-
47;:ref:`ImportLUTFile<api-import-lut-file>`;Import the LUT file.;R/T;✔;✔;\-;✔;\-;\-;\-;\-;✔;✔;✔;\-;✔;\-;\-;\-;\-;✔;✔;✔;✔;✔;✔;✔;\-;\-;\-;✔;✔;\-
48;:ref:`RequestFTPServerSettingList<api-request-ftp-server-setting-list>`;Request the FTP Server setting lists.;R/T;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;✔;\-;\-;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;\-;\-;\-;\-
49;:ref:`GetFTPServerSettingList<api-get-ftp-server-setting-list>`;Get the FTP Server setting lists.;R/T;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;✔;\-;\-;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;\-;\-;\-;\-
50;:ref:`ReleaseFTPServerSettingList<api-release-ftp-server-setting-list>`;Release the CrFTPServerSetting objects allocated by GetFTPServerSettingList.;R/T;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;✔;\-;\-;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;\-;\-;\-;\-
51;:ref:`SetFTPServerSetting<api-set-ftp-server-setting>`;Update FTP Server setting.;R/T;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;✔;\-;\-;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;\-;\-;\-;\-
52;:ref:`RequestFTPJobList<api-request-ftp-job-list>`;Request the FTP Job lists.;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;\-;\-;\-;\-;✔;✔;✔;\-;\-;\-;\-;\-;\-
53;:ref:`GetFTPJobList<api-get-ftp-job-list>`;Get the FTP Job lists.;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;\-;\-;\-;\-;✔;✔;✔;\-;\-;\-;\-;\-;\-
54;:ref:`ReleaseFTPJobList<api-release-ftp-job-list>`;Release the CrFTPJobInfo objects allocated by GetFTPJobList.;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;\-;\-;\-;\-;✔;✔;✔;\-;\-;\-;\-;\-;\-
55;:ref:`ControlFTPJobList<api-control-ftp-job-list>`;Add, delete, suspend, and resume FTP Jobs.;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;\-;\-;\-;\-;✔;✔;✔;\-;\-;\-;\-;\-;\-
56;:ref:`GetCRSDKOperationResultsSupported<api-get-crsdk-operation-results-supported>`;Get a list of "API" and "Function" that will notify you of the results.;R/T;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;\-
57;:ref:`ReleaseCRSDKOperationResultsSupported<api-release-crsdk-operation-results-supported>`;Release the CrOperationResultSupportedInfo objects allocated by GetCRSDKOperationResultsSupported.;R/T;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;\-
58;:ref:`SetMonitoringDeliverySetting<api-set-monitoring-delivery-setting>`;Set the Monitoring delivery setting.;R/T;\-;✔;✔;✔;\-;✔;\-;\-;\-;✔;✔;✔;\-;\-;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;\-;\-;\-;\-;\-;\-
59;:ref:`GetMonitoringDeliverySetting<api-get-monitoring-delivery-setting>`;Get the Monitoring delivery setting.;R/T;\-;✔;✔;✔;\-;✔;\-;\-;\-;✔;✔;✔;\-;\-;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;\-;\-;\-;\-;\-;\-
