No.;APIs;Outline;Mode;ILX-LR1;ILCE-1M2;ILCE-1;ILCE-9M3;ILCE-9M2;ILCE-7RM5;ILCE-7RM4A;ILCE-7RM4;ILCE-7CR;ILCE-7SM3;ILCE-7M5;ILCE-7M4;ILCE-7CM2;ILCE-7C;ILCE-6700;MPC-2610;ILME-FX6;ILME-FX2;ILME-FX3A;ILME-FX3;ILME-FX30;PXW-Z300;PXW-Z200;HXR-NX800;BRC-AM7;ILME-FR7;ZV-E1;ZV-E10M2;DSC-RX1RM3;DSC-RX0M2
79;:ref:`ControlMoviePlayback<api-control-movie-playback>`;Control movie playback operation.;T;\-;✔;\-;\-;\-;✔;\-;\-;✔;✔;✔;✔;✔;\-;✔;\-;\-;\-;✔;✔;✔;\-;\-;\-;\-;\-;\-;\-;\-;\-
80;:ref:`RequestMoviePlaybackStatus<api-request-movie-playback-status>`;Request the movie playback status.;T;\-;✔;\-;\-;\-;✔;\-;\-;✔;✔;✔;✔;✔;\-;✔;\-;\-;\-;✔;✔;✔;\-;\-;\-;\-;\-;\-;\-;\-;\-
81;:ref:`GetMoviePlaybackStatus<api-get-movie-playback-status>`;Get the movie playback status.;T;\-;✔;\-;\-;\-;✔;\-;\-;✔;✔;✔;✔;✔;\-;✔;\-;\-;\-;✔;✔;✔;\-;\-;\-;\-;\-;\-;\-;\-;\-
82;:ref:`PrecheckFirmwareUpdate<api-precheck-firmware-update>`;Precheck remote firmware update.;R/T;✔;\-;\-;\-;\-;✔;\-;\-;\-;✔;✔;✔;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;✔;\-;\-;\-;\-;\-;\-
83;:ref:`UploadPartialFile<api-upload-partial-file>`;Upload file by partial.;R/T;✔;\-;\-;\-;\-;✔;\-;\-;\-;✔;✔;✔;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;✔;\-;\-;\-;\-;\-;\-
84;:ref:`CancelFirmwareUpload<api-cancel-firmware-upload>`;Cancel upload firmware file.;R/T;✔;\-;\-;\-;\-;✔;\-;\-;\-;✔;✔;✔;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;✔;\-;\-;\-;\-;\-;\-
85;:ref:`RequestFirmwareUpdaterInfo<api-request-firmware-updater-info>`;Request firmware updater info.;R/T;✔;\-;\-;\-;\-;✔;\-;\-;\-;✔;✔;✔;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;✔;\-;\-;\-;\-;\-;\-
86;:ref:`StartFirmwareUpdate<api-start-firmware-update>`;Start firmware update.;R/T;✔;\-;\-;\-;\-;✔;\-;\-;\-;✔;✔;✔;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;✔;\-;\-;\-;\-;\-;\-
87;:ref:`ControlPTZF<api-control-ptzf>`;Control the Pan/Tilt.;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;\-;\-;\-;\-
88;:ref:`PresetPTZFClear<api-preset-ptzf-clear>`;Clear the Preset PTZF.;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;\-;\-;\-;\-
89;:ref:`PresetPTZFSet<api-preset-ptzf-set>`;Set the Preset PTZF.;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;\-;\-;\-;\-
90;:ref:`SetTimeZoneSetting<api-set-time-zone-setting>`;Set the TImeZone Settings.;R/T;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;✔;\-;✔;\-;\-;✔;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;\-
